package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"react-imgix","extracted-with-diagnostics","9.5.9999","react-imgix","24","9","20","6","1","0","0","1","1","0","0","0","0","0","0","0","2","9"
"react-imgpro","extracted-with-diagnostics","1.3.9999","react-imgpro","6","6","5","5","1","0","0","1","1","0","0","0","0","0","0","0","2","6"
"react-immutable-proptypes","extracted-with-diagnostics","2.1.9999","react-immutable-proptypes","29","12","29","8","7","0","0","1","1","0","0","0","0","0","0","0","0","12"
"react-infinite","extracted-with-diagnostics","0.0.9999","react-infinite","7","4","7","3","1","0","0","1","1","0","0","0","0","0","0","0","0","4"
"react-infinite-calendar","extracted-with-diagnostics","2.3.9999","react-infinite-calendar","18","13","16","6","1","0","0","1","1","0","0","0","0","0","0","0","2","13"
"react-infinite-scroller","extracted-with-diagnostics","1.2.9999","react-infinite-scroller","12","7","11","5","1","0","0","1","1","0","0","0","0","0","0","0","3","6"
"react-inner-image-zoom","extracted-with-diagnostics","3.0.9999","react-inner-image-zoom","10","5","8","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-input-autosize","extracted-with-diagnostics","2.2.9999","react-input-autosize","7","7","6","5","1","0","0","1","1","0","0","0","0","0","0","0","2","7"
"react-input-calendar","extracted-with-diagnostics","0.0.9999","react-input-calendar","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"react-input-mask","extracted-with-diagnostics","3.0.9999","react-input-mask","10","5","8","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-instantsearch-dom","extracted-with-diagnostics","6.12.9999","react-instantsearch-dom","151","16","123","5","1","0","0","38","38","0","0","0","0","0","0","0","2","16"
"react-instantsearch-native","extracted-with-diagnostics","6.3.9999","react-instantsearch-native","0","0","0","0","0","0","0","31","31","0","0","0","0","0","0","0","0","0"
"react-intl-redux","extracted-with-diagnostics","0.1.9999","react-intl-redux","7","7","6","5","1","0","0","4","4","0","0","0","0","0","0","0","2","7"
"react-is","extracted-with-diagnostics","19.3.9999","react-is","14","14","14","0","0","0","0","1","1","0","0","0","0","0","0","0","0","14"
